AR_ID,NID_ID,Dam_Name,Year_Removed,Latitude,Longitude,City_County,River,HUC8,State,Dam_Height_ft,Dam_Length_ft,Year_Built,Owner,Original Use,Type_Material,Miles_Restored_US,Miles_Restored_DS,River_Miles_Reported,Last_Updated,,,,,,,,,,
IA-009,IA01301,Quaker Mill Dam,2017,42.51,-91.47,Manchester/Delaware,Maquoketa,Maquoketa,IA,22,196,1920s,Willard Hawker (private citizen) ,Hydropower,Concrete,,,~8,2/8/2018,,,,,,,,,,
IA-010,,East Lake Park Dam 1,2016,43.1535,-93.1862,Mason City,Willow Creek,Winnebago,IA,5,30,,City of Mason City,,Concrete,,,,2/6/2020,,,,,,,,,,
IA-011,,East Lake Park Dam 3,2017,43.1551,-93.1846,Mason City,Willow Creek,Winnebago,IA,5,35,,City of Mason City,,Concrete,,,,2/6/2020,,,,,,,,,,
IA-012,,Little Dam,2019,42.493703,-94.18734,Fort Dodge,Des Moines River,Mississippi River,IA,8,270,1916,,,,,,,2/6/2020,,,,,,,,,,
ID-001,,Dip Creek Dam,,43.753960,-114.382000,Ketchum,Dip Creek,Big Wood,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-002,,Lane Dam,,48.6632,-116.297,Boundary County,Elkhorn Gulch,Lower Kootenai,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-003,,Buster Lake Dam,,44.438710,-114.417000,Challis,Garden Creek,Upper Salmon,ID,29,,1935,,,,,,,11/10/2017,,,,,,,,,,
ID-004,,Packsaddle Dam,1916,43.770399,-111.339443,Tetonia,North Fork Packsaddle Creek,Teton,ID,40,1000,1905,,,,,,,11/10/2017,,,,,,,,,,
ID-005,,Sunbeam Dam,1931,44.270556,-114.736197,"Salmon - Challis National Forest, Stanley",Salmon River,Upper Salmon,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-006,,Grangeville Dam,1963,,,,Clearwater River,,ID,56,440,,,,,,,,11/10/2017,,,,,,,,,,
ID-007,,Timber Creek Dam,1970,44.580543,-113.466527,Leadore,Middle Fork Little Timber Creek,Lemhi,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-008,,Lewiston Dam,1973,46.433460,-116.959000,Lewiston,Clearwater River,Clearwater,ID,45,1060,1927,,,,,,,11/10/2017,,,,,,,,,,
ID-010,,Malony Lake Dam,1986,,,,South Fork of Lake Fork Creek,,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-011,,Kshmitter Dam,1988,,,,Tributary of John Day Creek,,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-012,,Kunkel Dam,1994,42.226577,-114.524136,Twin Falls,Soldier Creek,Upper Snake-Rock,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-013,,Colburn Mill Pond Dam,1999,48.406810,-116.529000,Sandpoint,Colburn Creek,Pend Oreille Lake,ID,12,35,,,,,,,,11/10/2017,,,,,,,,,,
ID-014,ID00174,Cove Dam,2006,42.53199,-111.796,Grace ,Bear River,Middle Bear,ID,,,1917,Pacificorp,Hydropower,,,,,11/10/2017,,,,,,,,,,
ID-015,,Unnamed ford (Road 5440),2009,46.7633,-115.087,Clearwater National Forest,Independence Creek,Upper North Fork Clearwater,ID,,,,,,,,,2,11/10/2017,,,,,,,,,,
ID-016,,Pancheri Diversion Dam,2010,44.11935,-113.247,Howe,Little Lost River,Little Lost,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
ID-017,,Dutch Flat Dam,2013,46.74278,-116.785,Troy,West Fork of Little Bear Creek,Clearwater,ID,10,175,1919,City of Troy,Drinking Water Reservoir,Concrete,,,7,11/10/2017,,,,,,,,,,
ID-018,ID00104,Hoffman Duffy Dam,2014,43.18655,-115.589,Mountain Home,Unnamed trib to Rattlesnake Creek,C.J. Strike Reservoir,ID,9.5,570,1915,,Livestock pond,Earthen,,,0,11/10/2017,,,,,,,,,,
ID-019,,Browns Pond - Cruzen,,44.91437693,-115.9799143,McCall,Lake Fork,North Fork Payette,ID,25,,,,,,,,,11/10/2017,,,,,,,,,,
ID-020,,High Plains Estates,2013,43.76911765,-116.4592974,Eagle,Farmers Union Canal Tributary,North Fork Payette,ID,16,,,,,,,,,11/10/2017,,,,,,,,,,
ID-021,,Lindernam Dam,,43.762194,-116.460050,Fremont County,Milk Creek,Lower Boise,ID,26,,,,,,,,,11/10/2017,,,,,,,,,,
ID-022,,Watts Lake Dam,,43.927736,-111.385851,Nez Perce County,Hatwai Creek,Teton,ID,,,,,,,,,,11/10/2017,,,,,,,,,,
IL-001,,Lake Marion Dam,,,,,Delta Creek,Clearwater,IL,,,,,,,,,,11/10/2017,,,,,,,,,,
IL-002,IL00647,Olsens Lake Dam,,41.974183,-89.527672,Polo,Sevenmile Branch,Lower Rock,IL,17,,,,,,,,,11/10/2017,,,,,,,,,,
IL-004,IL50198,Consol/Burning Star 5/20 Dam,,37.8367,-89.19,DeSoto,Tributary of Little Muddy River,Big Muddy,IL,18,,,,,,,,,11/10/2017,,,,,,,,,,
IL-006,,Garden Forest Pond Dam,,,,,Tributary of Wolf Branch,,IL,,,,,,,,,,11/10/2017,,,,,,,,,,
IL-007,IL00950,Peabody #1A Dam ,,37.73716,-88.2185,Gold Hill,Tributary to Cypress Ditch,Saline,IL,24,,,,,,,,,11/10/2017,,,,,,,,,,
IL-008,,Peabody #5 Dam,,,,,Tributary to Cypress Ditch,,IL,42,,,,,,,,,11/10/2017,,,,,,,,,,
IL-009,,Paradise Lake Dam,,,,,Tributary to East Fork Wood River,,IL,20,,,,,,,,,11/10/2017,,,,,,,,,,
IL-010,,Old Ben Dam,,,,,Tributary to Ewing Creek,,IL,29,,,,,,,,,11/10/2017,,,,,,,,,,
IL-012,,Springfield Dam,,39.76867,-89.6027,Springfield,Tributary to Sugar Creek,South Fork Sangamon,IL,25,,,,,,,,,11/10/2017,,,,,,,,,,
IL-013,,Woodhaven North Impoundment Dam ,,,,,,,IL,12,,,,,,,,,11/10/2017,,,,,,,,,,
IL-014,,Woodhaven South Impoundment Dam,,,,,,,IL,11,,,,,,,,,11/10/2017,,,,,,,,,,
IL-015,,Stone Gate Park #1 Dam,2010,41.686219,-88.348336,Oswego,Waubonsie Creek,Lower Fox,IL,5,65,,Oswegoland Park District,,,,,,11/10/2017,,,,,,,,,,
IL-016,,YWCA Dam,2004,41.971297,-88.279029,South Elgin,Brewster Creek,Lower Fox,IL,8,50,,YWCA,,,,,4,11/10/2017,,,,,,,,,,
IL-017,IL55069,South Batavia Dam,2005,41.83626,-88.3099,Batavia,Fox River,Lower Fox,IL,7,700,1916,Kane County Forest Preserve District ,,,,,1.5,11/10/2017,,,,,,,,,,
IL-018,,Leonards Dam ,2008,41.31185,-88.1411,Wilmington,Forked Creek,Kankakee,IL,2.3,114,Early 1900's,City of Wilmington,Recreation,Run of the river /concrete,,,93,11/10/2017,,,,,,,,,,
IL-019,,Creek Bend Dam #1,2009,41.92994,-88.3516,St. Charles,Ferson Creek,Lower Fox,IL,4,60,Early 1900s,,,Run of the river /boulder concrete,,,3.5,11/10/2017,,,,,,,,,,
IL-020,,Creek Bend Dam #2,2009,41.92927,-88.353,St. Charles,Ferson Creek,Lower Fox,IL,3,75,Mid 1900s ,,,Run of the river /boulder concrete,,,6,11/10/2017,,,,,,,,,,
IL-021,,Fairbanks Avenue Dam,2012,41.82275,-87.8201,Riverside,Des Plaines River,Des Plaines,IL,2,158,,Forest Preserve District of Cook County,,Concrete,,,1,11/10/2017,,,,,,,,,,
IL-022,IL01154,Hofmann Dam,2012,41.8209,-87.8224,Riverside ,Des Plaines River,Des Plaines,IL,12.5,258,1950,State of Illinois,,,,,10,11/10/2017,,,,,,,,,,
IL-023,,Blackberry Creek Dam (River Road Dam),2013,41.64543,-88.4505,Yorkville,Blackberry Creek,Lower Fox,IL,12,75,1832,,Mill,Concrete/Stone,,,32,11/10/2017,,,,,,,,,,
IL-024,,DeSantos Dam/Arnold,2005,41.97191,-88.2796,South Elgin,Brewster Creek,Lower Fox,IL,3,30,,Private,,,,,1,11/10/2017,,,,,,,,,,
IL-025,IL00918,North Avenue Dam,2006,41.75317,-88.322,Aurora,Fox River,Milwaukee,IL,2.75,365,,City of Aurora,,Concrete,,,1.5,11/10/2017,,,,,,,,,,
IL-026,,Golf Course Dam,2008,42.21729,-87.9681,Veron Hills,Seavey Ditch,Des Plaines,IL,4,45,,Vernon Hills Golf Course,,,,,2,11/10/2017,,,,,,,,,,
IL-027,,Stone Gate Park #2 Dam,2010,41.63694,-88.3459,Oswego,Waubonsie Creek,Lower Fox,IL,2.5,40,,Oswegoland Park District,,,,,,11/10/2017,,,,,,,,,,
IL-028,,Ryerson Dam,2011,42.17519,-87.9168,Riverwoods,Des Plaines River,Des Plaines,IL,2.5,120,,Lake County Forest Preserve District,,,,,5,11/10/2017,,,,,,,,,,
IL-029,,Warrenville Dam,2011,41.82146,-88.1723,Warrenville,West Branch DuPage River,Des Plaines,IL,8,100,,DuPage County,,,,,25,11/10/2017,,,,,,,,,,
IL-030,,McDowell Grove Dam,2011,41.79468,-88.1871,Naperville,West Branch DuPage River,Des Plaines,IL,5.00,100,,DuPage County,,,,,25,11/10/2017,,,,,,,,,,
IL-031,IL55144,Churchill Woods,2011,41.88307,-88.0364,Lilse,East Branch DuPage River,Des Plaines,IL,4.00,50,,DuPage County,,,,,5,11/10/2017,,,,,,,,,,
IL-032,,Armitage Avenue Dam,2012,41.914763,-87.833237,Elmwood Park,Des Plaines River,Des Plaines,IL,5.50,106,,Cook County Forest Preserve District,,,,,7,11/10/2017,,,,,,,,,,
IL-033,,Judson College Dam,2012,42.05999,-88.2915,Elgin,Tyler Creek,Upper Fox,IL,1.50,75,,Judson College,,,,,5,11/10/2017,,,,,,,,,,
IL-034,,Wing Park Dam,2012,42.05322,-88.3054,Elgin,Tyler Creek,Upper Fox,IL,1.00,60,,Elgin Park District,,,,,25,11/10/2017,,,,,,,,,,
IL-035,,Dam #1,2014,42.12401,-87.8956,Wheeling,Des Plaines River,Des Plaines,IL,2.25,130,,Cook County Forest Preserve District,,,,,9,11/10/2017,,,,,,,,,,
IL-036,,Dam #2,2014,42.08186,-87.8902,Mt. Prospect,Des Plaines River,Des Plaines,IL,3,160,,Cook County Forest Preserve District,,,,,13,11/10/2017,,,,,,,,,,
IL-037,,Homer Park Dam,pre-1959,40.05559,-87.958660,"North of Homer, Champaign County",Vermilion River,Vermilion,IL,,,1880s,,,Lowhead dam,,,,11/10/2017,,,,,,,,,,
IL-038,,Wabash River Lock 1,1930s,38.434440,-87.741300,"North of Mt. Carmel, Wabash County",Wabash River,Lower Wabash,IL,12,"1,100",1847,"US Army Corps, transfer to Boy Scouts of America",,Stone masonry lock with white oak gates and a wood crib dam,,,,11/10/2017,,,,,,,,,,
IL-039,,Winnetka Dam,2015,42.09458,-87.7571414,Winnetka/Cook,Skokie River,Chicago,IL,3,43.8,"Construction plans for the dam are dated 1948. However, other sources indicate that a dam has been in place at this location since 1918.",Cook County Forest Preserve District,,"Concrete capped sheet piling dam and wingwalls with an 8"" thick concrete apron extending 7'+/- downstream ",,,<0.1 ,11/10/2017,,,,,,,,,,
IL-045,,Danville Dam,2018,40.12225,-87.63156,"Danville, Vermilion",Vermilion River,Vermilion ,IL,11,207,1914,City of Danville,,Concrete,175 (total between both projects),,,2/5/2019,,,,,,,,,,
IL-040,,Dempster Street Dam,2016,42.03847,-87.88280,Des Plaines/Cook,Des Plaines River,Des Plaines,IL ,9,102,1946,,Inundate raw sewage spoils,Concrete,,,,11/10/2017,,,,,,,,,,
IL-041,,MacArther Woods (Dam No.1B),2016,42.248354,-87.942587,Vernon Hills,Des Plaines River,Des Plaines,IL ,3,140,,Lake County Forest Preserve District,,,,,25.4,11/10/2017,,,,,,,,,,
IL-042,,Oak Meadows Dam,2015,41.9413028,-87.9836194,"Village of Addison, DuPage County",Salt Creek,Des Plaines,IL ,3,75,,,Irrigation for golf course,Concrete,,,1.5,11/10/2017,,,,,,,,,,
IL-044,,Wright Woods (Dam No.1A),2016,42.226349,-87.937832,Vernon Hills,Des Plaines River,Des Plaines,IL ,1.5,121,,Lake County Forest Preserve District,,,,,1.8,11/10/2017,,,,,,,,,,
IL-046,,Ellsworth Park Dam ,2018,40.12388,-87.63879,City of Danville/Vermilion County ,North Fork Vermillion River ,Vermilion ,IL ,,,1920,City of Danville,,,175 (total between both projects),,,2/5/2019,,,,,,,,,,
IN-001,,Pinhook Dam,,,,,,,IN,15,,,,,,,,,11/10/2017,,,,,,,,,,
IN-002,,Liberty Mills Dam,2012,41.03755,-85.7391,North Manchester,Eel River,Eel,IN,,,,,,,,,,11/10/2017,,,,,,,,,,
IN-003,,North Manchester Dam ,2012,40.99391,-85.7818,North Manchester,Eel River,Eel,IN,,,,,,,,,,11/10/2017,,,,,,,,,,
IN-004,,Huntington Mill Dam,2016,40.8792889,-85.4911333,Huntington/Huntington,Little River,Upper Wabash,IN,10,150,~1861,Huntington Mills,Flour mill,Concrete wier against original timber crib,,,18.2 upstream now connected (369 total),11/10/2017,,,,,,,,,,
IN-005,,Mexico Dam,2016,40.8282333,-86.11415,"Mexico, IN / Miama County",Eel River,Eel,IN,5,160,,,,Concrete,,,,11/10/2017,,,,,,,,,,
IN-006,,Fawn River Hatchery Dam,2017,41.4433,-85.1027,Town of Orland; Steuben County,Fawn River,St. Joseph,IN,10,190,prior to 1915,State of IN,Mill,Earthen dam w/2 concrete spillways,,,26,2/8/2018,,,,,,,,,,
IN-008,,Fox Farm Road Dam (Warsaw Water Supply Dam),2018,41.257863,-85.87225,"Warsaw, Kosciusko County",Tippecanoe River,Tippecanoe,IN,3,50,Possibly 1960's,City of Warsaw,,Concrete,104,500+,,2/5/2019,,,,,,,,,,
IN-009,IN00030,Corydon Water Works Dam #2 (Middle),2019,38.221802,-86.1189,Corydon/Harrison Co.,Indian Creek,Blue-Sinking,IN,10,180,,Corydon Water Utilities,Water Supply,Concrete,3.48,0.44,,2/6/2020,,,,,,,,,,
IN-010,IN00031,Corydon Water Works Dam #3 (North),2019,38.237665,-86.109768,Corydon/Harrison Co.,Indian Creek,Blue-Sinking,IN,12,165,,Corydon Water Utilities,Water Supply,Concrete,41.33,3.48,,2/6/2020,,,,,,,,,,
IN-011,,George R. Dale Dam,2019,40.200708,-85.379731,Muncie/Delaware Co.,White River,Upper White,IN,8,120,1984,City of Muncie,Recreation,Concrete,2.79,8.32,,2/6/2020,,,,,,,,,,
IN-012,,Indiana Steel and Wire Co. Dam,2019,40.193514,-85.363337,Muncie/Delaware Co.,White River,Upper White,IN,4,140,~1900s,City of Muncie,Industrial Water Intake,Boulders encased in concrete,4.97,2.79,,2/6/2020,,,,,,,,,,
KS-001,,Edwin K. Simpson Dam,,,,,,,KS,25,,,,,,,,,11/10/2017,,,,,,,,,,
KS-002,,Kansas Gas & Electric Dam,,,,,,,KS,,,,,,,,,,11/10/2017,,,,,,,,,,
KS-003,,Lake Bluestem Dam,,,,,,,KS,68,,,,,,,,,11/10/2017,,,,,,,,,,
KS-004,,Moline Middle City Lake Dam,,37.35466,-96.3281,Moline,Wildcat Creek,Elk,KS,21,,,,,,,,,11/10/2017,,,,,,,,,,
KS-005,,Mott Dam,,,,,,,KS,21,,,,,,,,,11/10/2017,,,,,,,,,,
KS-006,,Robert Yonally Dam,,,,,,,KS,,,,,,,,,,11/10/2017,,,,,,,,,,
KS-007,,Soldier Lake Dam,,,,,,,KS,14,,,,,,,,,11/10/2017,,,,,,,,,,
KY-001,,West Fork Pond River #2 Dam,,,,,West fork of Pond River,,KY,16,,,,,,,,,11/10/2017,,,,,,,,,,
KY-002,,No Name #1 Dam,1982,,,,Great Onyx Pond,,KY,5,,,,,,,,,11/10/2017,,,,,,,,,,
KY-003,,No Name #2 Dam,1982,,,,Great Onyx Pond,,KY,5,,,,,,,,,11/10/2017,,,,,,,,,,
KY-004,,Sharpsburgh Reservoir Dam,1985,38.25869,-83.878,Sharpsburg,Little Flat Creek,Licking,KY,35,,,,,,,,,11/10/2017,,,,,,,,,,
KY-005,,Lock & Dam 6 (GRLD6),2017,37.206513,-86.260631,Brownsville/Edmonson,Green,Upper Green ,KY,9.2,145,1906,U.S. Army Corps of Engineers,Navigation,Concrete/earthen/timber crib,,,10,2/8/2018,,,,,,,,,,
LA-001,,Kisathie Lake Dam,,,,,Dry Pong Creek,,LA,25,,,,,,,,,11/10/2017,,,,,,,,,,
LA-002,,Castor Lake Dam,,31.14,-93.21,Leesville,Pond Branch,Lower Sabine,LA,10,,,,,,,,,11/10/2017,,,,,,,,,,
LA-003,,Bayou Dupont #13 Dam,,31.6673,-93.3576,Robeline,Tributary to Bayou Dupont,Bayou Pierre,LA,23,,,,,,,,,11/10/2017,,,,,,,,,,
MA-001,,Moody St. Feeder Dam,,,,,,,MA,12,,,,,,,,,11/10/2017,,,,,,,,,,
MA-002,,Old Berkshire Mill Dam,2000,42.47055,-73.1691,Dalton,Housatonic River,Housatonic,MA,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-003,,Billington Street Dam,2002,41.95075,-70.6731,Plymouth,Town Brook,Cape Cod,MA,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-004,,Silk Mill Dam,2003,42.328315,-73.083637,Becket,Yokum Brook,Westfield,MA,15,,,,Mill power,Concrete,,,,11/10/2017,,,,,,,,,,
MA-005,,Upper Cook's Canyon Dam,2006,42.41451,-72.1066,Barre,Galloway Brook,Chicopee,MA,9.5,84,,,,Earthen berm dam with a concrete and wood control structure,,,,11/10/2017,,,,,,,,,,
MA-006,,Sandwich Game Farm Dam,2006,41.7311,-70.4273,East Sandwich,Mill Creek,Cape Cod,MA,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-007,,Robbins Dike Dam,2006,41.76645,-70.6351,Plymouth,Red Brook,Cape Cod,MA,5.5,100,Early 1900s,,Trout spawning and cranberry business,Earthen berm dam with a wood control structure,,,,11/10/2017,,,,,,,,,,
MA-008,,Ballou Dam,2006,42.331868,-73.083379,Becket,Yokum Brook,Westfield,MA,10,50,,,Mill,Concrete,,,,11/10/2017,,,,,,,,,,
MA-009,,New Way Dam,2008,41.76595,-70.6346,Wareham/Plymouth,Red Brook,Cape Cod,MA,2,100,,Land Trust,,Earth/Concrete,,,0.5,11/10/2017,,,,,,,,,,
MA-010 to MA-016,,Eel River Headwaters Restoration (7 small dams),2009,,,Plymouth,Eel River,,MA,8,250,Late 19th Century,,Cranberry bog operation since late 1800s,Earthen dams with concrete/wood control structures,,,1.7,11/10/2017,,,,,,,,,,
MA-017,,Hall Brook Dam,2009,42.62432,-73.1241,Adams,Hoxie Brook,Hudson-Hoosic,MA,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-018,,Lower Dam,2009,42.74002,-70.8881,Rowley,Ox Pasture Brook,Charles,MA,8,70,,Massachusetts Dept. of Fish and Game,Recreation,Earthen/Concrete,,,1,11/10/2017,,,,,,,,,,
MA-019,,Lower Flume Dam,2009,41.76525,-70.6341,Wareham/Plymouth,Red Brook,Cape Cod,MA,,,,Trustee of Reservations,,Concrete/Steel,,,0.5,11/10/2017,,,,,,,,,,
MA-020,,Upper Flume Dam,2009,41.76527,-70.6342,Wareham/Plymouth,Red Brook,Cape Cod,MA,,,,Trustee of Reservations,,Concrete,,,0.5,11/10/2017,,,,,,,,,,
MA-022,MA01529,Briggsville Dam,2010,42.71467,-73.083,Clarksburg,North Branch Hoosic River,Hudson-Hoosic,MA,15,200,,Cascade School supplies ,,,,,30,11/10/2017,,,,,,,,,,
MA-023,MA00800,Forge Pond Dam,2010,41.80275,-71.0523,Freetown,Assonet River,Narragansett,MA,,,300 years old,,,,,,,11/10/2017,,,,,,,,,,
MA-024,,Sawmill Pond Dam,2010,41.91125,-70.6408,Plymouth,Eel River,Cape Cod,MA,12,100,1850,,,,,,2,11/10/2017,,,,,,,,,,
MA-025,,Upper Hathaway Brook Dam,2010,42.42041,-73.1854,Dalton,Hathaway Brook,Housatonic,MA,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-026,,Lower Hathaway Brook Dam,2010,42.42154,-73.186,Dalton,Hathaway Brook,Housatonic,MA,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-027,,Wapping Road Dam ,2011,41.992862,-70.748398,Kingston,Jones River,Cape Cod,MA,6.6,57,1920s,Jones River Realty Trust (present) ,"Forge, Textiles, etc",Concrete,,,3.7 + tributaries,11/10/2017,,,,,,,,,,
MA-037,,Gravesleigh Pond Dam,2013,42.42952,-73.2365,Pittsfield,Sackett Brook,Housatonic,MA,6,60,1930s,Massachusetts Audubon Society,Recreation,Concrete,,,8.4,11/10/2017,,,,,,,,,,
MA-038,MA02458,Off Billington Street Dam,2013,41.948958,-70.674128,Plymouth,Town Brook,Cape Cod,MA,8.4,110,,Town of Plymouth,Industrial Mill,Concrete/Rubble/Stone,,,0.2,11/10/2017,,,,,,,,,,
MA-039,MA00813,Whittenton Dam,2013,41.92428,-71.1063,Taunton,Mill River,Narragansett,MA,8,100,1832,Whittenton Mills,Water power for textile mill and other mills prior,"Concrete, wood, riprap",,,1,11/10/2017,,,,,,,,,,
MA-040,MA01561,Bartlett Pond Dam,2014,42.48835,-71.7141,Lancaster,Wekepeke Brook,Nashua,MA,,84,,Town of Lancaster,,Concrete,,,18,11/10/2017,,,,,,,,,,
MA-041,,Carding Mill Dam,2014,41.67092,-70.062,Harwich,Cold River,Cape Cod,MA,8,80,1800s,,Mill dam and later cranberry bog water control,Stone,,,0.6,11/10/2017,,,,,,,,,,
MA-042,,International Paper Co. Dam No. 2,2014,42.625547,-72.548825,Gill,Fall River,Middle Connecticut,MA,10,50,1880s,,Industrial water supply,Stone/Timber mortar,,,41,11/10/2017,,,,,,,,,,
MA-043,,Kinne Brook Dam,2014,42.308453,-72.907759,Chester,Kinne Brook,Westfield,MA,6,30,1941,Private,Bass pond,Concrete,,,10,11/10/2017,,,,,,,,,,
MA-044,MA02166,Mill Pond Dam,2014,42.13965,-70.8355,Hanover,Third Herring Brook,Cape Cod,MA,5 to 9,300,1890 (but some previous dam was there earlier),South Shore YMCA,Mill,Stone/earthen,,,0.3,11/10/2017,,,,,,,,,,
MA-045,,Millie Turner Dam,2015,42.67476985,-71.5817908,Pepperell,Nissitissit River,Nashua,MA,10,110,,,Mill power,Stone,,,40,11/10/2017,,,,,,,,,,
MA-046,,Plymco Dam,2015,41.9464998,-70.67388186,Plymouth,Town Brook,Cape Cod,MA,16,200,,,Mill power,Earthen/Debris/Concrete,,,0.1,11/10/2017,,,,,,,,,,
MA-047,,Bleachery Dam (Rattlesnake Brook Dam),2016,41.781075,-71.0864194,Freetown,Assonet River,Narragansett,MA,7,325,1870s,,Mill power for bleachery,Earthern embankment/ stone masonry walls/concrete spillways,,,7,11/10/2017,,,,,,,,,,
MA-048,,Tack Factory Dam,2016,42.1227,-70.9082,Hanover,Third Herring Brook,Cape Cod,MA,10,160,1890,,Mill,Earthern embankment/ stone masonry walls/concrete spillways,,,8.5,11/10/2017,,,,,,,,,,
MA-049,,Beaver Dam Brook Dam,2016,41.901291,-70.571159,Plymouth,Beaver Dam Brook,Cape Cod,MA,12,350,,,Cranberry farming,Earthen,,,1,11/10/2017,,,,,,,,,,
MA-050,,Timber Dam,2016,42.379351,-72.471042,Pelham,Amethyst Brook,Middle Connecticut,MA,5,50,~1739-1820,,Mill,Wooden timbers,,,0.5,11/10/2017,,,,,,,,,,
MA-051,,Winchell Dam,2016,42.0838,-72.8421,Granville/Hampden County,Westfield River,Westfield,MA,14.5,145,1899,City of Westfield,Water supply,Granite,,,0.25,11/10/2017,,,,,,,,,,
MA-052,,Balmoral Dam,2017,42.67238856,-71.14942941,Andover/ Essex,Shawsheen,Merrimack,MA,6,60,1911,Town of Andover,Mill,Concrete,,,1.6,2/8/2018,,,,,,,,,,
MA-053,MA00350,Carver Cotton Gin Pond Dam,2017,42.02144,-70.95102,East Bridgewater,Satucket River,Narragansett,MA,15,60,1890s,Private,Mill,Concrete/Masonry,,,13,2/8/2018,,,,,,,,,,
MA-054,MA01080,Charles River Mill Dam (Pearl Street Mill Dam),2017,42.13074,-71.44475,Bellingham,Charles River,Charles River,MA,13.5,250,prior to 1900,Town,Mill,Concrete,,,9,2/8/2018,,,,,,,,,,
MA-055,,Coonamessett Lower Bog Dam,2017,41.581873,-70.573375,Falmouth,Coonamessett,Cape Cod,MA,,,,Town of Falmouth,Cranberry farming,,,,,2/8/2018,,,,,,,,,,
MA-056,,Hamant Brook Lower Pond Dam,2017,42.097692,-72.091778,Sturbridge,Hamant Brook,Quinebaug,MA,10,500,,Old Sturbridge Village,,Earth/concrete,,,0.25,2/8/2018,,,,,,,,,,
MA-057,MA02011,Hamant Brook Middle Pond Dam,2017,42.094959,-72.094636,Sturbridge,Hamant Brook,Quinebaug,MA,13,200,,Town of Sturbridge,,Concrete/earth,,,0.25,2/8/2018,,,,,,,,,,
MA-058,MA02010,Hamant Brook Upper Pond Dam,2017,42.092772,-72.09552,Sturbridge,Hamant Brook,Quinebaug,MA,11,210,,Town of Sturbridge,,Stone masonry/concrete/earth,,,6.00,2/8/2018,,,,,,,,,,
MA-059,MA01215,Marland Place Dam (Stevens Street Dam),2017,42.662316,-71.146805,Andover/ Essex,Shawsheen,Merrimack,MA,12,250,1852,Atria Senior Living,Mill,Concrete/Masonry,,,3.4,2/8/2018,,,,,,,,,,
MA-060,MA02472,Mordecai Lincoln Road Pond Dam (Hunters Pond Dam),2017,42.223088,-70.788676,Scituate,Bound Brook,Cape Cod,MA,11,220,1913,Town of Scituate,Mill,Concrete/Earthern,,,5,2/8/2018,,,,,,,,,,
MA-061,MA00924,Barstowe’s Pond Dam ,2018,41.882286,-71.048481,Taunton,Cotley River,Cape Cod,MA,8.5,92,1800s,Taunton Development Corporation & Mashpee Wampanoag Tribe,Recreation,Gravity/Earthen,6,0.5,,2/5/2019,,,,,,,,,,
MA-062,,Coonamessett River Lower Dam ,2018,41.585314,-70.572629,Falmouth,Coonamessett River,Cape Cod,MA,6,400,~1700,Town of Falmouth,Mill power,Earthen  ,4,0.5,,2/5/2019,,,,,,,,,,
MA-063,,West Britannia Dam ,2018,41.91903,-71.101489,Taunton,Mill River,Cape Cod,MA,8,85,1824,Acuity Management,"Flood control, mill works",Concrete/Gravity,30,3,,2/5/2019,,,,,,,,,,
MA-064,MA00760,Roberts Meadow Upper Reservoir Dam,2018,42.33796,-72.727938,Northampton/Hampshire,Roberts Meadow Brook,Connecticut River,MA,30,65,1883,City of Northampton,Water supply,Stone block,4,1,10,6/12/2019,,,,,,,,,,
MA-065,,Holmes Dam,2018,41.952488,-70.668722,Plymouth,Town Brook,Cape Cod,MA,19,,1926,Town of Plymouth,,Gravity,,,1.7,6/12/2019,,,,,,,,,,
MA-066,MA00395,Elm Street Dam,2019,41.99,-70.73,Kingston/Plymouth,Jones River,Cape Cod,MA,9,200,1920,Jones River Watershed Association/Town of Kingston,Hydraulic pumping power,Reinforced Concrete,24.56,1,,2/6/2020,,,,,,,,,,
MA-021,,May Brook Dam,2009,,,Windsor,May Brook,,MA ,,,,,,,,,,11/10/2017,,,,,,,,,,
MA-028,MA01761,Bartlett Rod Shop Co. Dam,2012,42.37895,-72.4722,Pelham,Amethyst Brook,Middle Connecticut,MA ,20,170,1820,HRD Press,Power for a fly rod company ,Stone,,,3,11/10/2017,,,,,,,,,,
MA-029,,Wellingsly Dam #1,2012,41.94896,-70.6534,Plymouth,Wellingsly Brook,Cape Cod,MA ,Three dams: 3-5 ft height,Three dams:  10-20 ft lengths,,,,Concrete,,,,11/10/2017,,,,,,,,,,
