STATE ID,DAM NAME,OTHER  NAME,NID,NO STRUCTURES,OTHER STRUCT ID,LONGITUDE,LATITUDE,COUNTY,CITY/TOWN,RIVER/STREAM,YR COMPLETED,PURPOSES,DRINKING WATER,DAM TYPE,LENGTH (FT),HT (FT) EST,HT (FT),STRUCT HT(FT),HYD HT(FT),SPILL W(FT),SPILL HT(FT),SPILL MAX D(FT),NORM STOR(AC-FT),MAX STOR(AC-FT),NORM SURF AREA(AC),DRN AREA(SQ MI),SW MAX (CFS),OUTMAX(CFS),FRESHET(CFS),HIST HAZARD,HIST SOURCE,HAZARD,HAZARD SOURCE,COMMENT,REGULATED,ACTIVE,PERMIT AUTHORITY,INSP AUTHORITY,ENFORCE AUTHORITY,SIZE,DS JURISDICTION,STATE REGULATORY AGENCY,FED REGULATORY AGENCY,YR MODIFIED,SPILL TYPE,OUTLET GATES,NEAREST CITY/TOWN,DIST TO CITY/TOWN,NON-FED ON FED PROP,NRCS
081,ROBIN HOLLOW POND,,RI00805,,,-71.38421628,41.91420746,PROVIDENCE,CUMBERLAND,ABBOTT RUN,1937,S,Y,"EARTH,MASONRY",200,,13,15,13,58,9,3.9,208,240,37,27,1680,265,1896,LOW,,SIGNIFICANT,GZA MAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,CENTRAL FALLS,1,N,
082,HAPPY HOLLOW POND,,RI00806,,,-71.38552854,41.90099339,PROVIDENCE,CUMBERLAND,ABBOTT RUN,1885,S,Y,"MASONRY,EARTH",130,,15,19,15,68,12,4,220,360,20,28,2000,0,1291,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,CENTRAL FALLS,1,N,
083,ROPEWALK POND,,RI04036,,,-71.55519102,41.66967774,KENT,COVENTRY,TIOGUE RIVER-TRIB,,R,,EARTH,125,6,8,8,4,8,4,1,8,10,2,1,30,0,130,LOW,,LOW,RIDEM 2006 & GZA UMAP 2008,,Y,Y,N,Y,N,SMALL,Y,W,,,,,COVENTRY,0,N,
084,WENSCOTT RESERVOIR,TWIN RIVERS,RI02401,,,-71.46356968,41.87181092,PROVIDENCE,NORTH PROVIDENCE,WEST RIVER,1865,R,,"ROCKFILL,MASONRY,EARTH",320,,10,12,9,58,8,2,280,380,78,3,1067,169,426,SIGNIFICANT,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,NORTH PROVIDENCE,1,N,
085,GENEVA SPORTSMEN'S CLUB POND,HILL MILL POND,RI04256,,,-71.46107486,41.87026974,PROVIDENCE,NORTH PROVIDENCE,WEST RIVER,,F,,"EARTH,ROCKFILL",135,6,8,8,3,8,3,5,4,5,1,3,421,0,426,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH PROVIDENCE,0,N,
086,MEADER POND,,RI04234,,,-71.46772769,41.95031737,PROVIDENCE,LINCOLN,MUSSEY BROOK,,,,"ROCKFILL,EARTH,CONCRETE",100,4,5,5,4,1.6,4.5,4,10,12,4,0,40,0,50,LOW,,LOW,RIDEM 2006,,N,Y,N,N,N,SMALL,N,W,,,,,LINCOLN,0,N,
090,WHIPPLE POND,,RI04274,,,-71.43882752,41.85747909,PROVIDENCE,PROVIDENCE,WEST RIVER,,O,,"EARTH,MASONRY",260,12,13,13,9,67,9,4,14,19,3,7,2010,25,644,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,PROVIDENCE,0,N,
091,WANSKUCK POND,,RI04275,,,-71.43009944,41.8555336,PROVIDENCE,PROVIDENCE,WEST RIVER,1882,O,,"EARTH,MASONRY",14,9,14,14,10,39.5,10,3,50,65,12,8,1027,400,639,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,PROVIDENCE,0,N,
093,CANADA UPPER POND,,RI02801,,,-71.42627722,41.85477826,PROVIDENCE,PROVIDENCE,WEST RIVER-TRIB,1915,O,,"EARTH,ROCKFILL,CONCRETE",350,,20,21,17,35,17,3,129,144,23,2,600,138,319,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,PROVIDENCE,0,N,
094,CANADA LOWER POND,,RI04276,,,-71.42598725,41.85327527,PROVIDENCE,PROVIDENCE,WEST RIVER,1908,O,,"EARTH,CONCRETE",100,7,5,6,3,33,3,2,2,2,0,2,434,0,323,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,SMALL,N,W,,,,,PROVIDENCE,0,N,
095,SHIPPEE POND,,RI04257,,,-71.42526,41.85344,PROVIDENCE,NORTH PROVIDENCE,SHIPPEE BROOK,1935,O,,EARTH,100,11,5,5,2,8,2.5,2,2,2,1,2,78,0,328,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,SMALL,N,W,,,,,NORTH PROVIDENCE,0,N,
096,GOULD POND,ANGELL'S POND,RI04326,,,-71.47115328,41.8759842,PROVIDENCE,SMITHFIELD,WEST RIVER,,O,,"EARTH,CONCRETE,MASONRY",125,2,6,6,4,2.25,4.5,0.8,5,6,2,0,8,0,19,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
097,BUTTERFLY POND,,RI04235,,,-71.43215942,41.90711216,PROVIDENCE,LINCOLN,MOSHASSUCK RIVER,1883,O,,"EARTH,MASONRY",200,9,8,8,7,45.5,7,2.8,20,26,4,5,855,0,550,LOW,,HIGH,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,LINCOLN,0,N,
098,PEACE POND,,RI04236,,,-71.42687989,41.90520092,PROVIDENCE,LINCOLN,MOSHASSUCK RIVER,,O,,"EARTH,MASONRY",100,9,11,11,8,20,8,3,5,7,1,5,360,0,550,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,LINCOLN,0,N,
099,MOFFETT POND,,RI04237,,,-71.42518619,41.90509795,PROVIDENCE,LINCOLN,MOSHASSUCK RIVER,1883,O,,"EARTH,MASONRY",40,9,10,10,9,36,8.75,1.25,4,5,0,5,147,90,572,LOW,,HIGH,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,LINCOLN,0,N,
100,GOLDFISH POND,,RI04230,,,-71.43544006,41.9052925,PROVIDENCE,LINCOLN,MOSHASSUCK RIVER-TRIB,,F,,EARTH,60,,6,7,4,3,4,1.5,6,8,2,0,25,0,20,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,LINCOLN,0,N,
101,BARNEY POND,,RI01701,,,-71.41432187,41.8965149,PROVIDENCE,LINCOLN,MOSHASSUCK RIVER,1885,R,,"MASONRY,GRAVITY,EARTH",200,,19,20,15,50,15,4,152,172,25,7,1400,272,650,LOW,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,LINCOLN,1,N,
102,OLNEY POND,LINCOLN WOODS PARK,RI01702,,,-71.42663569,41.89469913,PROVIDENCE,LINCOLN,THREADMILL BROOK,1883,R,,"MASONRY,GRAVITY,EARTH",220,,29.5,27,26,7,28,,1490,1860,133,1,88,78,156,HIGH,ACOE-1979,HIGH,ACOE 1979 & GZA UMAP 2008,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,LINCOLN,2,N,
104,BLEACHERY POND,,RI04238,,,-71.40857571,41.89272826,PROVIDENCE,LINCOLN,MOSHASSUCK RIVER,1883,H,,EARTH,400,,8,8,4,55,4.5,3.4,20,30,8,7,1375,0,632,LOW,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,LINCOLN,0,N,
106,AMERICAN SCREW,,RI04559,,,-71.41166,41.83633,PROVIDENCE,PROVIDENCE,MOSHASSUCK RIVER,,,,,,,,,,,,,,,,,,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,,,W,,,,,PROVIDENCE,0,N,
107,PRIMROSE POND LOWER,,RI02506,,,-71.55411527,41.95523452,PROVIDENCE,NORTH SMITHFIELD,WOONASQUATUCKET RIVER,1865,R,,"ROCKFILL,MASONRY,GRAVITY,EARTH",250,3.5,8,8,4,8,3.5,1.5,27,34,9,2,52,0,255,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH SMITHFIELD,0,N,
108,STILLWATER RESERVOIR,STUMP POND,RI03101,,,-71.54209138,41.9089203,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,1918,FR,,"CONCRETE,EARTH,OTHER",670,,20,39,20,100,16,,2400,3900,240,26,1800,175,1127,HIGH,ACOE-1981,HIGH,ACOE 1981,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SMITHFIELD,2.5,N,
109,STILLWATER POND,,RI03102,,,-71.52516177,41.90790562,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,1885,O,,"GRAVITY,EARTH",745,,18,18,14,165,14,1,125,170,28,30,627,350,1222,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,SMITHFIELD,2,N,
110,CAPRON POND,,RI04325,,,-71.52187352,41.90322117,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,,O,,"EARTH,MASONRY,CONCRETE",260,13,13,10,8,90,8.2,3.8,40,50,10,30,2354,24,1238,LOW,,LOW,GZA MAP 2008 & RIDEM 2008 (RIDEM 2007-SIG),,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
111,WATERMAN LAKE,,RI03103,,,-71.57666782,41.87832638,PROVIDENCE,GLOCESTER / SMITHFIELD,STILLWATER RIVER,1837,R,,"EARTH,MASONRY",4630,,18,19,19,201,16,3,2430,3750,270,9,4422,60,673,SIGNIFICANT,ACOE-1978,HIGH,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SMITHFIELD,0,N,
112,GREENVILLE MILL POND,,RI04324,,,-71.57148741,41.87742233,PROVIDENCE,SMITHFIELD,STILLWATER RIVER,,O,,"EARTH,MASONRY,CONCRETE",440,10,16,16,14,40,14,2,60,72,9,10,420,420,686,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
113,KNIGHT MILL POND,,RI04323,,,-71.56510925,41.87643812,PROVIDENCE,SMITHFIELD,STILLWATER RIVER,1917,O,,"EARTH,MASONRY",330,6,7.2,7,6,40,5.6,1.6,20,25,7,10,221,272,697,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
114,STILLWATER MILL POND,,RI04322,,,-71.55912776,41.87599567,PROVIDENCE,SMITHFIELD,STILLWATER RIVER,,O,,"EARTH,CONCRETE,MASONRY",200,8,15,16,10,63,10,2.5,35,50,7,11,1051,0,713,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
115,SLACK RESERVOIR,,RI03104,,,-71.55325319,41.86879352,PROVIDENCE,SMITHFIELD,STILLWATER RIVER-TRIB,1885,R,,"MASONRY,OTHER,GRAVITY,EARTH",220,,15,17,14,6,13.5,1.6,1300,1780,150,2,100,224,295,SIGNIFICANT,ACOE-1980,HIGH,ACOE 1980 & RIDEM DEF & GZA MAP 2008,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SMITHFIELD,0,N,
116,HOPKINS POND,,RI04321,,,-71.55189513,41.87094115,PROVIDENCE,SMITHFIELD,SLACK RESERVOIR BROOK,,O,,"EARTH,CONCRETE",25,12,9,11,5,4,5,4.8,10,18,4,2,325,0,337,LOW,,HIGH,GZA MAP 2008 & RIDEM 2008 (RIDEM 2007-SIG),DEM CONSIDERS ROAD D/S OF DAM,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,SMITHFIELD,0,N,
117,MOWRY POND,,RI04320,,,-71.55036922,41.87365723,PROVIDENCE,SMITHFIELD,SLACK RESERVOIR BROOK,,O,,"EARTH,MASONRY",95,8,10.3,10,9,10,8.7,1.5,4,5,1,2,60,0,,LOW,,LOW,GZA 2007 & RIDEM 2008,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
119,SEBILLE POND,,RI04319,,,-71.51203918,41.87125779,PROVIDENCE,SMITHFIELD,HAWKINS BROOK,,O,,"EARTH,MASONRY",80,6.5,9,10,6,3,6.5,2.25,6,9,2,1,32,0,126,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
120,SPRAGUE UPPER RESERVOIR,,RI03105,,,-71.56317135,41.89173123,PROVIDENCE,SMITHFIELD,STILLWATER RIVER-TRIB,1885,R,,"ROCKFILL,MASONRY,EARTH",252,,25,26,25,8,16,6,281,368,23,0,350,31,74,HIGH,ACOE-1979,HIGH,ACOE 1979 (NEED UPDATED RPT FROM OWNER?),,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,SMITHFIELD,1,N,
121,SPRAGUE LOWER RESERVOIR,LAKE WIONKHEIGE,RI03109,,,-71.5451355,41.88528441,PROVIDENCE,SMITHFIELD,STILLWATER RIVER-TRIB,1822,R,,"EARTH,CONCRETE",250,,15,19,14,45,14,3,165,255,30,1,800,6,770,LOW,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,SMITHFIELD,1,N,
122,GRANITE MILL POND,,RI04318,,,-71.53939055,41.88823321,PROVIDENCE,SMITHFIELD,REAPER BROOK,,O,,"EARTH,MASONRY",60,10.5,11.6,12,8,53,8,4,8,11,2,13,1723,0,745,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
123,HAWKINS POND,FOUNTAIN SPRING POND,RI03106,,,-71.54502104,41.86282347,PROVIDENCE,SMITHFIELD,REAPER BROOK,1885,R,,"ROCKFILL,MASONRY,EARTH",150,,10,10,9,3,9,1.5,110,132,26,1,20,28,126,LOW,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,SMITHFIELD,0,N,
124,REAPER POND,MOSQUITOVILLE POND,RI04317,,,-71.54167942,41.86417772,PROVIDENCE,SMITHFIELD,REAPER BROOK,,O,,"EARTH,MASONRY",210,8,5,5,2,4,2.5,2.5,5,8,4,1,56,0,144,LOW,,LOW,RIDEM 2006,,Y,Y,N,N,N,SMALL,N,W,,,,,SMITHFIELD,0,N,
125,MOUNTAINDALE RESERVOIR,,RI03107,,,-71.53610233,41.88528058,PROVIDENCE,SMITHFIELD,REAPER BROOK,1885,R,,"GRAVITY,EARTH",120,7,10,10,8,14,8,2,35,50,11,2,156,61,312,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
126,GEORGIAVILLE POND,,RI03108,,,-71.50653076,41.89309309,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,1882,R,,"GRAVITY,EARTH",1200,,33,35,27,112.5,27,5,1300,1950,130,34,3773,764,10600,HIGH,ACOE-1979,HIGH,ACOE 1979 & GZA UMAP 2008,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SMITHFIELD,0,N,
127,BELKNAP POND,,RI04215,,,-71.50595098,41.84923176,PROVIDENCE,JOHNSTON,ASSAPUMPSET BROOK,,O,,"EARTH,MASONRY,CONCRETE",300,10.5,8,8,7,14,7,0.75,6,7,2,1,21,42,190,LOW,,SIGNIFICANT,GZA 2007,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,JOHNSTON,0,N,
128,ESMOND MILL UPPER POND,,RI04316,,,-71.50221256,41.87904743,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,1991,O,,"EARTH,CONCRETE,MASONRY",180,5,12.5,14,3,75,3,7,2,6,1,36,4860,0,1408,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,SMITHFIELD,0,N,
129,ESMOND MILL MIDDLE POND,,RI04315,,,-71.50024414,41.87697223,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,,O,,"EARTH,CONCRETE",55,1,4,8,4,48,3,3,2,3,1,36,873,0,1408,LOW,,LOW,RIDEM 2006,,N,Y,N,N,N,SMALL,N,W,,,,,SMITHFIELD,0,N,
130,ESMOND MILL LOWER POND,,RI04314,,,-71.49815364,41.87508771,PROVIDENCE,SMITHFIELD,WOONASQUATUCKET RIVER,,O,,MASONRY,100,,4,4,3,,3,,2,2,1,36,,,1408,LOW,,LOW,RIDEM 2006,,N,Y,N,N,N,SMALL,N,W,,,,,SMITHFIELD,0,N,
131,GREYSTONE,,RI01604,,,-71.49243169,41.86607357,PROVIDENCE,JOHNSTON / NORTH PROVIDENCE,WOONASQUATUCKET RIVER,1865,,,"ROCKFILL,MASONRY,EARTH",355,,7,10,6,67,6,2.8,81,116,13,39,1039,543,1521,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH PROVIDENCE/JOHNSTON,0,N,
132,CENTREDALE,,RI04568,,,-71.487562,41.859602,PROVIDENCE,NORTH PROVIDENCE / JOHNSTON,WOONASQUATUCKET RIVER,,,,,0,,,0,,,,,0,0,0,0,0,,,LOW,,LOW,RIDEM 2006,,UNK,Y,N,N,N,,,W,,,,,,,N,
133,ALLENDALE POND,,RI02403,,,-71.48179623,41.85102082,PROVIDENCE,NORTH PROVIDENCE,WOONASQUATUCKET RIVER,1865,O,,"EARTH,OTHER",234,,15,19,12,106,10,3,43,68,13,40,2226,578,1548,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,JOHNSTON,0,N,
134,LYMANSVILLE,,RI02402,,,-71.47739408,41.8395615,PROVIDENCE,JOHNSTON / NORTH PROVIDENCE,WOONASQUATUCKET RIVER,1925,O,,"ROCKFILL,EARTH",500,,13,14,10,105,10,3.5,120,167,25,45,2730,756,1700,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,NORTH PROVIDENCE,0,N,
135,MANTON MILL POND,,RI04277,,,-71.47212978,41.83495329,PROVIDENCE,JOHNSTON / PROVIDENCE,WOONASQUATUCKET RIVER,1945,O,,CONCRETE,165,,10,14,6,85,6,4.5,22,60,9,46,3315,559,1748,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,PROVIDENCE,0,N,
138,ATLANTIC MILLS POND,,RI04278,,,-71.44895172,41.81862259,PROVIDENCE,PROVIDENCE,WOONASQUATUCKET RIVER,,O,,"EARTH,MASONRY",220,,12,12,10,98,9.5,2.75,25,32,5,48,1564,223,1776,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,PROVIDENCE,0,N,
140,RISING SUN POND,,RI04280,,,-71.44200899,41.82209393,PROVIDENCE,PROVIDENCE,WOONASQUATUCKET RIVER,1905,O,,CONCRETE,120,,13,13,9,96,9,4,13,19,3,49,2746,1472,1828,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,PROVIDENCE,0,N,
142,HARRIS POND,,RI04313,,,-71.50644687,41.91374974,PROVIDENCE,SMITHFIELD,HARRIS BROOK,,O,,"EARTH,CONCRETE,MASONRY",150,4,4.3,4,3,12,3,1.6,10,12,4,1,,0,175,LOW,,LOW,RIDEM 2006,,N,Y,N,N,N,SMALL,N,W,,,,,SMITHFIELD,0,N,
144,FRUIT OF THE LOOM,PONTIAC,RI03501,,,-71.47136688,41.72624971,KENT,WARWICK,PAWTUXET RIVER,1918,O,,"CONCRETE,GRAVITY,EARTH",100,,10,11,10,96,6,5,120,200,20,197,4070,524,6000,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WARWICK,0,N,
145,NATICK POND,,RI03801,,,-71.49240108,41.71738052,KENT,WEST WARWICK,PAWTUXET RIVER,1886,O,,"ROCKFILL,MASONRY",263,,25,30.4,25,166,20,9.4,500,1100,46,182,4700,206,5500,HIGH,ACOE-1979,HIGH,ACOE 1979 & GZA UMAP 2008,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,WEST WARWICK,0,N,
146,RIVERPOINT POND LOWER,,RI04366,,,-71.51267242,41.7148323,KENT,WEST WARWICK,PAWTUXET RIVER-SOUTH BRANCH,,O,,"EARTH,MASONRY",190,14,14,14,14,100,9,5,18,28,4,74,3900,1944,5844,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WEST WARWICK,0,N,
147,RIVERPOINT POND UPPER,ROYAL MILLS,RI04367,,,-71.51645666,41.71281433,KENT,WEST WARWICK,PAWTUXET RIVER-SOUTH BRANCH,,O,,"EARTH,MASONRY",120,28,22,24,20,75,20,3,70,90,6,74,1364,150,4864,LOW,,HIGH,GZA MAP 2008,,N,Y,N,N,N,SMALL,N,W,FERC,,,,WEST WARWICK,0,N,
148,ARCTIC,FACTORY STREET,RI03802,,,-71.52044674,41.70704651,KENT,WEST WARWICK,PAWTUXET RIVER-SOUTH BRANCH,1885,H,,"ROCKFILL,MASONRY,EARTH",150,,28,28,26,110,26,1.5,173,194,14,73,3080,60,3020,HIGH,ACOE-1981,HIGH,ACOE 1981 (NEED MAP FROM OWNER),,N,Y,N,N,N,SMALL,N,W,FERC,,,,WEST WARWICK,0,N,
149,CENTERVILLE POND,,RI03803,,,-71.52109528,41.69686127,KENT,WEST WARWICK,PAWTUXET RIVER,1885,O,,"MASONRY,GRAVITY,EARTH",150,,16,23,12,60,16,4,310,350,14,73,2700,30,3020,SIGNIFICANT,,HIGH,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,WEST WARWICK,1,N,
150,CROMPTON LOWER,,RI03804,,,-71.52521517,41.68575668,KENT,WEST WARWICK,PAWTUXET RIVER-SOUTH BRANCH,1885,O,,"MASONRY,GRAVITY,EARTH",350,9.5,8,12,8,225,8,3,122,182,20,72,4090,0,4732,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WEST WARWICK,1,N,
151,QUIDNICK POND UPPER,,RI04037,,,-71.54135127,41.6952133,KENT,COVENTRY,PAWTUXET RIVER-SOUTH BRANCH,,O,,"EARTH,MASONRY",130,,17,18,14,110,14,4,42,51,6,69,3360,43,4610,SIGNIFICANT,,LOW,GZA 2004 & DEM 09/18/2012,SIGNIFICANT HAZ APPEALED,Y,Y,N,Y,N,SMALL,Y,W,,,,,COVENTRY,0,N,
152,MILL POND,ANTHONY MILL POND,RI00607,,,-71.54697422,41.69553758,KENT,COVENTRY,PAWTUXET RIVER-SOUTH BRANCH,1800,O,,"GRAVITY,EARTH",285,,19,21,14,80,14,5,308,462,30,68,3130,103,4577,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,COVENTRY,0,N,
153,WASHINGTON POND UPPER,,RI00608,,,-71.56733704,41.69017791,KENT,COVENTRY,PAWTUXET RIVER-SOUTH BRANCH,1875,O,,"ROCKFILL,MASONRY,GRAVITY,EARTH",100,,12,16,12,65,12,4.4,173,230,12,68,2205,180,4338,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,COVENTRY,0,N,
155,RIVERPOINT MILL POND DAM,LIPPITT,RI04369,,,-71.52793123,41.72002412,KENT,WEST WARWICK,PAWTUXET RIVER-NORTH BRANCH,,O,,"EARTH,MASONRY",185,0,13,13,10,175,10,4,10,14,2,106,4900,,6230,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WEST WARWICK,0,N,
156,PHENIX MILL POND,,RI04370,,,-71.53099819,41.72040556,KENT,WEST WARWICK,PAWTUXET RIVER-NORTH BRANCH,,O,,"EARTH,MASONRY",160,20,19,21,15,150,15,6,30,42,4,104,7375,,6160,LOW,,LOW,RIDEM 2006,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WEST WARWICK,0,N,
157,HARRIS POND,,RI04038,,,-71.53971863,41.72542574,KENT,COVENTRY,PAWTUXET RIVER-NORTH BRANCH,1882,O,,"ROCKFILL,EARTH",280,,24,24,19,150,17,4.7,60,80,8,102,6000,352,6150,SIGNIFICANT,,LOW,FUSS&ONEILL/DEM 2016,SIGNIFICANT HAZ APPEALED,Y,Y,N,Y,N,SMALL,N,W,,,,,WEST WARWICK,0,N,
158,ARKWRIGHT POND,,RI04039,,,-71.54554744,41.72969819,KENT,COVENTRY,PAWTUXET RIVER-NORTH BRANCH,,O,,"EARTH,MASONRY",180,,21,22,16,133,16,6,40,50,5,102,6667,,6090,SIGNIFICANT,,LOW,GZA 2004,,Y,Y,N,Y,N,SMALL,Y,W,,,,,WEST WARWICK,1,N,
160,HOPE,,RI03005,,,-71.56428529,41.73106764,PROVIDENCE,SCITUATE,PAWTUXET RIVER-NORTH BRANCH,1885,HR,,"MASONRY,GRAVITY,EARTH",300,,19,19,12,147,12,7,264,418,35,98,10730,550,5940,SIGNIFICANT,,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,SMALL,Y,DS,,,,,SCITUATE,0,N,
161,GAINER MEMORIAL,SCITUATE RESERVOIR,RI03001,2,D01,-71.58486176,41.75326919,PROVIDENCE,SCITUATE,PAWTUXET RIVER-NORTH BRANCH,1926,S,Y,"EARTH,GRAVITY,CONCRETE",3200,,109,189,96,440,96,15,114000,164850,3390,93,53520,2140,5754,HIGH,ACOE-1978,HIGH,ACOE 1978 (NEED GZA RPT FROM OWNER),,Y,Y,Y,Y,Y,LARGE,Y,DS,,,,,SCITUATE,2,N,
162,MOSWANSICUT POND,,RI03002,,,-71.58254239,41.84088895,PROVIDENCE,SCITUATE,MOSWANSICUT BROOK,1919,S,Y,"EARTH,MASONRY",400,,14,15,10,17,9,5.1,5466,5750,282,4,310,260,325,LOW,ACOE-1980,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SCITUATE,1,N,
163,WESTCONNAUG RESERVOIR,,RI01201,,,-71.67716975,41.77225878,PROVIDENCE,FOSTER,WESTCONNAUG BROOK,1924,S,Y,"EARTH,MASONRY,CONCRETE",322,,17,17,14,16,14,4,1390,1620,174,4,220,40,464,HIGH,ACOE-1981,HIGH,ACOE 1981 (NEED RPT FROM OWNER),,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SCITUATE,1,N,
164,BARDEN RESERVOIR,,RI03003,,,-71.67375184,41.79198073,PROVIDENCE,SCITUATE,PONAGANSET RIVER,1883,S,Y,"MASONRY,GRAVITY,EARTH",612,,31,35,30,82,25,7.2,2620,4320,240,33,4654,141,6708,SIGNIFICANT,ACOE-1980,SIGNIFICANT,GZA 2004,,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,SCITUATE,0,N,
165,PONAGANSET RESERVOIR,,RI01304,,,-71.74193568,41.86777117,PROVIDENCE,GLOCESTER,PONAGANSET RIVER,1865,S,Y,"EARTH,CONCRETE",635,,25,26,23,8,23,5.75,2277,3657,230,2,130,26,1028,SIGNIFICANT,ACOE-1980,HIGH,ACOE 1980 & RIDEM DEF (NEED GZA RPT FROM OWNER),,Y,Y,Y,Y,Y,MEDIUM,Y,DS,,,,,GLOCESTER,3,N,
